Run,GPS_code,Site,Treatment,salvia left,encelia_left,bromus_left,brassica_left,Total_eaten,Day_set_out,Day_collected,Days_Out,Notes
Au28,Aug27_S3,3,A+,20,20,19,19,2,8/27/2018,8/28/2018,1,
Au28,Aug27_S3,3,BR+,8,9,0,14,49,8/27/2018,8/28/2018,1,
Au28,Aug27_S4,4,C,20,20,20,20,0,8/27/2018,8/28/2018,1,
Au28,Aug27_S4,4,A+,20,21,20,20,-1,8/27/2018,8/28/2018,1,
Au28,Aug27_S4,4,BR+,0,13,0,0,67,8/27/2018,8/28/2018,1,
Au28,Aug27_S5,5,C,20,20,20,20,0,8/27/2018,8/28/2018,1,
Au28,Aug27_S5,5,A+,0,2,0,20,58,8/27/2018,8/28/2018,1,
Au28,Aug27_S5,5,BR+,17,19,17,20,7,8/27/2018,8/28/2018,1,
Au28,Aug27_S6,6,C,20,20,20,20,0,8/27/2018,8/29/2018,2,
Au28,Aug27_S6,6,A+,19,20,20,19,2,8/27/2018,8/29/2018,2,
Au28,Aug27_S6,6,BR+,15,10,16,14,25,8/27/2018,8/29/2018,2,
Se18,Sep17_S1,1,C,0,1,7,0,72,9/17/2018,9/18/2018,1,"* Really have to decide what to do here. Ants were observed in control. Conservative approach is to not use this site. However, there is lots of interesting activity."
Se18,Sep17_S1,1,A+,0,8,9,0,63,9/17/2018,9/18/2018,1,Pogos in treatment
Se18,Sep17_S1,1,BR+,20,20,20,19,1,9/17/2018,9/18/2018,1,
Se18,Sep17_S2,2,C,20,18,20,15,7,9/17/2018,9/19/2018,2,
Se18,Sep17_S2,2,A+,19,20,20,20,1,9/17/2018,9/19/2018,2,
Se18,Sep17_S2,2,BR+,5,11,0,0,64,9/17/2018,9/19/2018,2,
Se18,Sep17_S3,3,C,20,20,20,20,0,9/17/2018,9/19/2018,2,
Se18,Sep17_S3,3,A+,19,19,20,20,2,9/17/2018,9/19/2018,2,
Se18,Sep17_S3,3,BR+,20,19,20,20,1,9/17/2018,9/19/2018,2,
Se18,Sep17_S4,4,C,18,20,20,20,2,9/17/2018,9/18/2018,1,
Se18,Sep17_S4,4,A+,20,20,20,20,0,9/17/2018,9/18/2018,1,
Se18,Sep17_S4,4,BR+,4,1,15,1,59,9/17/2018,9/18/2018,1,
Se18,Sep17_S5,5,C,20,18,20,20,2,9/17/2018,9/19/2018,2,
Se18,Sep17_S5,5,A+,19,20,19,19,3,9/17/2018,9/19/2018,2,
Se18,Sep17_S5,5,BR+,12,16,0,3,49,9/17/2018,9/19/2018,2,
Se18,Sep17_S6,6,C,20,20,20,20,0,9/17/2018,9/18/2018,1,
Se18,Sep17_S6,6,A+,20,20,20,18,2,9/17/2018,9/18/2018,1,
Se18,Sep17_S6,6,BR+,9,17,4,4,46,9/17/2018,9/18/2018,1,
Oc10,Oct10_S1,1,C,20,20,20,20,0,10/10/2018,10/11/2018,1,
Oc10,Oct10_S1,1,A+,18,20,20,19,3,10/10/2018,10/11/2018,1,
Oc10,Oct10_S1,1,BR+,6,1,6,2,65,10/10/2018,10/11/2018,1,
Oc10,Oct10_S2,2,C,20,20,20,20,0,10/10/2018,10/11/2018,1,
Oc10,Oct10_S2,2,A+,20,22,20,20,-2,10/10/2018,10/11/2018,1,
Oc10,Oct10_S2,2,BR+,6,8,5,6,55,10/10/2018,10/11/2018,1,
Oc10,Oct10_S3,3,C,19,19,20,20,2,10/10/2018,10/11/2018,1,
Oc10,Oct10_S3,3,A+,20,19,20,20,1,10/10/2018,10/11/2018,1,
Oc10,Oct10_S3,3,BR+,0,0,1,0,79,10/10/2018,10/11/2018,1,
Oc10,Oct10_S4,4,C,19,20,20,20,1,10/10/2018,10/11/2018,1,
Oc10,Oct10_S4,4,A+,18,20,20,20,2,10/10/2018,10/11/2018,1,
Oc10,Oct10_S4,4,BR+,11,17,8,1,43,10/10/2018,10/11/2018,1,
Oc10,Oct10_S5,5,C,20,20,20,20,0,10/10/2018,10/11/2018,1,
Oc10,Oct10_S5,5,A+,20,20,20,20,0,10/10/2018,10/11/2018,1,
Oc10,Oct10_S5,5,BR+,1,2,3,0,74,10/10/2018,10/11/2018,1,
No6-18,Nov5_S1,1,C,19,20,20,20,1,11/5/2018,11/8/2018,3,
No6-18,Nov5_S1,1,A+,19,20,21,20,0,11/5/2018,11/8/2018,3,
No6-18,Nov5_S1,1,BR+,18,22,13,20,7,11/5/2018,11/8/2018,3,
No6-18,Nov5_S2,2,C,19,20,20,20,1,11/5/2018,11/8/2018,3,
No6-18,Nov5_S2,2,A+,20,19,20,16,5,11/5/2018,11/8/2018,3,
No6-18,Nov5_S2,2,BR+,19,19,20,17,5,11/5/2018,11/8/2018,3,
No6-18,Nov5_S3,3,C,17,19,18,18,8,11/5/2018,11/6/2018,1,
No6-18,Nov5_S3,3,A+,20,20,17,19,4,11/5/2018,11/6/2018,1,
No6-18,Nov5_S3,3,BR+,12,14,15,7,32,11/5/2018,11/6/2018,1,
No6-18,Nov5_S4,4,C,19,20,19,20,2,11/5/2018,11/7/2018,2,
No6-18,Nov5_S4,4,A+,19,20,20,20,1,11/5/2018,11/7/2018,2,
No6-18,Nov5_S4,4,BR+,17,20,18,7,18,11/5/2018,11/7/2018,2,
No6-18,Nov5_S5,5,C,18,21,19,16,6,11/5/2018,11/7/2018,2,
No6-18,Nov5_S5,5,A+,20,20,20,20,0,11/5/2018,11/7/2018,2,
No6-18,Nov5_S5,5,BR+,6,15,10,0,49,11/5/2018,11/7/2018,2,
No6-18,Nov5_S6,6,C,20,21,20,20,-1,11/5/2018,11/8/2018,3,
No6-18,Nov5_S6,6,A+,19,20,20,20,1,11/5/2018,11/8/2018,3,
No6-18,Nov5_S6,6,BR+,17,20,18,12,13,11/5/2018,11/8/2018,3,
